PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
22,32,222,3,0,2,6,7.1,68.8,119.5,14,34,2.4,0,1,1,2,3,6,276,1,9,1,1,22:32,2018-12-09,14,Sun,4:25PM ET,0,1,6-7,1,Dallas Cowboys,23.0,29.0,16.0,256.0,222.0,34.0,1.0,32.0,576.0,434.0,142.0,3.0,0.29,-9.25,2.96,phi,2018,12,2018,25.333333333333332,21.166666666666668,0.46153846153846156
24,31,270,0,1,0,0,8.7,77.4,89.4,30,111,3.7,3,3,4,3,3,3,155,4,13,0,1,31:36,2018-12-16,15,Sun,8:20PM ET,1,0,7-7,1,Los Angeles Rams,30.0,23.0,17.0,381.0,270.0,111.0,1.0,23.0,407.0,325.0,82.0,3.0,1.68,-1.52,3.79,phi,2018,12,2018,27.0,22.166666666666668,0.5
35,50,462,4,1,1,9,9.4,70.0,117.2,22,57,2.6,0,2,2,2,3,2,96,9,16,4,4,33:45,2018-12-23,16,Sun,1:00PM ET,1,0,8-7,0,Houston Texans,32.0,30.0,25.0,519.0,462.0,57.0,3.0,25.0,371.0,309.0,62.0,1.0,15.67,-10.43,-0.98,phi,2018,12,2018,28.333333333333332,24.166666666666668,0.5333333333333333
29,34,231,3,1,3,12,7.1,85.3,112.1,34,129,3.8,0,1,1,3,3,3,123,8,14,1,1,43:19,2018-12-30,17,Sun,4:25PM ET,1,0,9-7,1,Washington Redskins,24.0,0.0,25.0,360.0,231.0,129.0,1.0,8.0,89.0,68.0,21.0,1.0,12.25,20.41,-7.8,phi,2018,12,2018,28.666666666666668,27.0,0.5625
28,39,313,3,0,1,0,8.0,71.8,121.0,31,123,4.0,1,1,1,3,3,3,154,11,17,1,2,34:27,2019-09-08,1,Sun,1:00PM ET,1,0,1-0,0,Washington Redskins,32.0,27.0,22.0,436.0,313.0,123.0,0.0,15.0,398.0,370.0,28.0,0.0,17.68,-12.08,0.64,phi,2019,9,2019,,,1.0
28,48,237,1,2,3,18,5.3,58.3,60.9,21,49,2.3,1,2,2,0,0,4,209,9,18,2,3,32:54,2019-09-15,2,Sun,8:20PM ET,0,0,1-1,1,Atlanta Falcons,20.0,24.0,18.0,286.0,237.0,49.0,3.0,19.0,367.0,310.0,57.0,3.0,-5.22,-3.96,4.03,phi,2019,9,2019,,,0.5
19,36,246,2,0,3,13,7.2,52.8,93.1,30,127,4.2,1,1,1,3,3,3,144,7,13,0,2,32:18,2019-09-22,3,Sun,1:00PM ET,0,0,1-2,0,Detroit Lions,24.0,27.0,22.0,373.0,246.0,127.0,2.0,16.0,287.0,201.0,86.0,0.0,-0.31,-1.07,-3.8,phi,2019,9,2019,25.333333333333332,,0.3333333333333333
16,27,160,3,0,0,0,5.9,59.3,113.2,33,176,5.3,2,0,0,4,4,4,167,5,9,0,0,27:39,2019-09-26,4,Thu,8:20PM ET,1,0,2-2,1,Green Bay Packers,34.0,27.0,24.0,336.0,160.0,176.0,0.0,31.0,491.0,414.0,77.0,2.0,18.42,-16.95,4.12,phi,2019,9,2019,26.0,,0.5
17,29,181,1,0,1,8,6.5,58.6,88.4,29,84,2.9,1,1,1,4,4,5,234,5,13,0,2,30:52,2019-10-06,5,Sun,1:00PM ET,1,0,3-2,0,New York Jets,31.0,6.0,17.0,265.0,181.0,84.0,1.0,9.0,128.0,61.0,67.0,3.0,-4.56,35.65,-6.44,phi,2019,10,2019,29.666666666666668,,0.6
26,41,292,2,2,2,14,7.5,63.4,80.5,22,108,4.9,0,2,2,2,2,3,131,4,12,1,3,27:56,2019-10-13,6,Sun,1:00PM ET,0,0,3-3,1,Minnesota Vikings,20.0,38.0,19.0,400.0,292.0,108.0,3.0,26.0,447.0,325.0,122.0,2.0,2.18,-17.04,0.52,phi,2019,10,2019,28.333333333333332,26.833333333333332,0.5
16,26,168,1,1,3,23,7.3,61.5,77.1,28,115,4.1,0,1,1,1,1,3,152,3,9,1,2,27:38,2019-10-20,7,Sun,8:20PM ET,0,0,3-4,1,Dallas Cowboys,10.0,37.0,16.0,283.0,168.0,115.0,4.0,23.0,402.0,213.0,189.0,1.0,-10.92,-15.32,0.53,phi,2019,10,2019,20.333333333333332,23.166666666666668,0.42857142857142855
17,24,153,1,0,3,19,7.2,70.8,101.6,41,218,5.3,3,1,1,2,3,4,184,8,15,0,2,35:57,2019-10-27,8,Sun,1:00PM ET,1,0,4-4,1,Buffalo Bills,31.0,13.0,21.0,371.0,153.0,218.0,1.0,16.0,253.0,155.0,98.0,1.0,10.88,7.91,-5.78,phi,2019,10,2019,20.333333333333332,25.0,0.5
26,39,227,1,0,4,12,6.1,66.7,90.4,35,146,4.2,1,3,3,1,2,5,245,8,18,1,1,40:18,2019-11-03,9,Sun,1:00PM ET,1,0,5-4,0,Chicago Bears,22.0,14.0,26.0,373.0,227.0,146.0,0.0,10.0,164.0,102.0,62.0,1.0,10.73,4.78,-2.82,phi,2019,11,2019,21.0,24.666666666666668,0.5555555555555556
20,40,174,1,0,5,40,5.4,50.0,70.2,21,81,3.9,0,1,1,1,1,8,387,3,13,0,1,31:35,2019-11-17,11,Sun,4:25PM ET,0,0,5-5,0,New England Patriots,10.0,17.0,21.0,255.0,174.0,81.0,1.0,19.0,298.0,224.0,74.0,0.0,-9.17,4.83,-0.43,phi,2019,11,2019,21.0,20.666666666666668,0.5
33,45,238,1,2,3,18,5.7,73.3,74.1,23,106,4.6,0,1,1,0,0,4,164,4,12,0,1,31:55,2019-11-24,12,Sun,1:00PM ET,0,0,5-6,0,Seattle Seahawks,9.0,17.0,23.0,344.0,238.0,106.0,5.0,14.0,348.0,174.0,174.0,2.0,-17.25,4.38,0.2,phi,2019,11,2019,13.666666666666666,17.0,0.45454545454545453
28,46,294,3,1,2,16,6.7,60.9,92.1,19,92,4.8,0,3,4,2,2,3,128,7,14,0,0,28:42,2019-12-01,13,Sun,1:00PM ET,0,0,5-7,1,Miami Dolphins,31.0,37.0,23.0,386.0,294.0,92.0,1.0,26.0,409.0,351.0,58.0,1.0,11.33,-16.93,0.08,phi,2019,12,2019,16.666666666666668,18.833333333333332,0.4166666666666667
33,50,300,2,0,3,25,6.5,66.0,95.4,32,118,3.7,1,1,2,2,2,8,387,9,21,1,2,42:51,2019-12-09,14,Mon,8:15PM ET,1,1,6-7,0,New York Giants,23.0,17.0,27.0,418.0,300.0,118.0,1.0,11.0,255.0,182.0,73.0,0.0,3.0,4.47,-0.47,phi,2019,12,2019,21.0,21.0,0.46153846153846156
30,43,258,3,0,2,8,6.2,69.8,108.5,28,157,5.6,1,1,1,4,4,3,140,11,16,0,0,36:57,2019-12-15,15,Sun,1:00PM ET,1,0,7-7,1,Washington Redskins,37.0,27.0,27.0,415.0,258.0,157.0,1.0,19.0,352.0,251.0,101.0,1.0,19.99,-5.52,-3.89,phi,2019,12,2019,30.333333333333332,22.0,0.5
31,40,313,1,0,1,6,8.0,77.5,107.6,30,118,3.9,1,1,3,2,2,4,163,6,14,0,1,36:12,2019-12-22,16,Sun,4:25PM ET,1,0,8-7,0,Dallas Cowboys,17.0,9.0,23.0,431.0,313.0,118.0,0.0,16.0,311.0,257.0,54.0,1.0,8.73,6.26,-3.16,phi,2019,12,2019,25.666666666666668,21.166666666666668,0.5333333333333333
23,40,279,1,0,1,10,7.2,57.5,87.4,31,121,3.9,3,2,2,4,4,7,303,4,15,1,2,31:25,2019-12-29,17,Sun,4:25PM ET,1,0,9-7,1,New York Giants,34.0,17.0,25.0,400.0,279.0,121.0,0.0,19.0,397.0,275.0,122.0,2.0,6.3,6.61,-0.16,phi,2019,12,2019,29.333333333333332,25.166666666666668,0.5625
24,42,208,2,2,8,62,6.4,57.1,66.4,17,57,3.4,0,1,2,2,2,5,268,5,14,0,2,30:39,2020-09-13,1,Sun,1:00PM ET,0,0,0-1,1,Washington Football Team,17.0,27.0,19.0,265.0,208.0,57.0,3.0,18.0,239.0,159.0,80.0,0.0,-16.45,6.28,1.28,phi,2020,9,2020,,,0.0
26,43,242,0,2,0,0,5.6,60.5,56.5,26,121,4.7,2,2,2,1,1,2,121,7,12,0,1,28:47,2020-09-20,2,Sun,1:00PM ET,0,0,0-2,0,Los Angeles Rams,19.0,37.0,25.0,363.0,242.0,121.0,3.0,30.0,449.0,258.0,191.0,1.0,-0.85,-27.57,8.25,phi,2020,9,2020,,,0.0
29,47,206,1,2,3,19,4.8,61.7,61.1,36,172,4.8,1,3,3,2,2,6,284,10,21,0,0,37:44,2020-09-27,3,Sun,1:00PM ET,0,1,0-2-1,0,Cincinnati Bengals,23.0,23.0,27.0,378.0,206.0,172.0,2.0,24.0,304.0,256.0,48.0,0.0,1.65,0.48,-1.44,phi,2020,9,2020,19.666666666666668,,0.0
18,28,174,1,1,3,19,6.9,64.3,78.6,28,93,3.3,1,1,1,2,2,6,307,4,13,2,2,29:29,2020-10-04,4,Sun,8:20PM ET,1,0,1-2-1,1,San Francisco 49ers,25.0,20.0,18.0,267.0,174.0,93.0,1.0,25.0,417.0,301.0,116.0,3.0,0.66,-0.02,3.75,phi,2020,10,2020,22.333333333333332,,0.25
21,36,242,2,2,5,34,7.7,58.3,74.1,16,94,5.9,2,0,1,3,3,2,100,10,14,0,1,25:17,2020-10-11,5,Sun,1:00PM ET,0,0,1-3-1,1,Pittsburgh Steelers,29.0,38.0,20.0,336.0,242.0,94.0,2.0,25.0,367.0,231.0,136.0,1.0,14.47,-20.16,-3.43,phi,2020,10,2020,25.666666666666668,,0.2
21,40,170,2,0,6,43,5.3,52.5,80.2,18,194,10.8,1,0,1,0,0,6,295,3,12,1,3,23:30,2020-10-18,6,Sun,1:00PM ET,0,0,1-4-1,0,Baltimore Ravens,28.0,30.0,19.0,364.0,170.0,194.0,1.0,17.0,355.0,173.0,182.0,0.0,1.83,0.7,-9.68,phi,2020,10,2020,27.333333333333332,23.5,0.16666666666666666
25,43,346,2,1,3,13,8.3,58.1,89.9,26,96,3.7,1,1,2,1,1,5,255,4,13,1,2,32:38,2020-10-22,7,Thu,8:20PM ET,1,0,2-4-1,0,New York Giants,22.0,21.0,27.0,442.0,346.0,96.0,1.0,17.0,325.0,165.0,160.0,3.0,2.8,1.65,-1.27,phi,2020,10,2020,26.333333333333332,24.333333333333332,0.2857142857142857
16,28,103,2,2,4,29,4.7,57.1,59.1,26,119,4.6,0,0,0,1,1,2,83,3,8,0,3,27:10,2020-11-01,8,Sun,8:20PM ET,1,0,3-4-1,0,Dallas Cowboys,23.0,9.0,18.0,222.0,103.0,119.0,4.0,21.0,265.0,132.0,133.0,2.0,-11.99,21.74,-1.73,phi,2020,11,2020,24.333333333333332,25.0,0.375
21,37,190,0,0,3,18,5.6,56.8,70.8,23,156,6.8,2,1,1,0,0,5,236,0,9,1,3,28:17,2020-11-15,10,Sun,1:00PM ET,0,0,3-5-1,1,New York Giants,17.0,27.0,22.0,346.0,190.0,156.0,0.0,22.0,382.0,231.0,151.0,0.0,2.7,-14.42,-4.88,phi,2020,11,2020,20.666666666666668,24.0,0.3333333333333333
21,35,209,2,2,5,26,6.7,60.0,72.2,25,106,4.2,0,1,1,2,2,6,249,2,12,2,2,28:16,2020-11-22,11,Sun,1:00PM ET,0,0,3-6-1,1,Cleveland Browns,17.0,22.0,19.0,315.0,209.0,106.0,3.0,17.0,324.0,187.0,137.0,1.0,-10.55,4.43,-1.99,phi,2020,11,2020,19.0,22.666666666666668,0.3
26,46,180,2,1,6,41,4.8,56.5,70.9,14,70,5.0,0,1,1,0,1,5,245,8,17,0,3,27:03,2020-11-30,12,Mon,8:15PM ET,0,0,3-7-1,0,Seattle Seahawks,17.0,23.0,18.0,250.0,180.0,70.0,1.0,20.0,301.0,225.0,76.0,0.0,-6.08,-0.57,-1.79,phi,2020,11,2020,17.0,20.666666666666668,0.2727272727272727
11,27,161,1,1,7,27,7.0,40.7,57.8,25,117,4.7,0,1,1,1,2,5,211,4,13,1,1,28:21,2020-12-06,13,Sun,4:25PM ET,0,0,3-8-1,1,Green Bay Packers,16.0,30.0,17.0,278.0,161.0,117.0,1.0,20.0,437.0,288.0,149.0,0.0,-2.33,-19.58,8.04,phi,2020,12,2020,16.666666666666668,18.666666666666668,0.25
17,30,167,1,0,0,0,5.6,56.7,83.6,36,246,6.8,2,1,2,3,3,3,140,4,13,2,4,30:16,2020-12-13,14,Sun,4:25PM ET,1,0,4-8-1,0,New Orleans Saints,24.0,21.0,21.0,413.0,167.0,246.0,1.0,20.0,358.0,262.0,96.0,2.0,6.77,-4.23,1.33,phi,2020,12,2020,19.0,19.0,0.3076923076923077
24,44,305,3,0,6,33,7.7,54.5,99.1,29,117,4.0,1,0,0,2,2,6,192,6,18,3,4,32:13,2020-12-20,15,Sun,4:05PM ET,0,0,4-9-1,1,Arizona Cardinals,26.0,33.0,26.0,422.0,305.0,117.0,0.0,26.0,526.0,423.0,103.0,3.0,10.01,-4.72,-12.58,phi,2020,12,2020,22.0,19.5,0.2857142857142857
21,39,326,1,2,3,16,8.8,53.8,69.0,29,151,5.2,1,1,1,2,2,5,183,7,17,1,2,29:22,2020-12-27,16,Sun,4:25PM ET,0,0,4-10-1,1,Dallas Cowboys,17.0,37.0,24.0,477.0,326.0,151.0,3.0,22.0,513.0,362.0,151.0,1.0,5.42,-23.4,0.38,phi,2020,12,2020,22.333333333333332,19.5,0.26666666666666666
13,33,98,0,2,3,21,3.6,39.4,22.2,29,118,4.1,2,0,0,2,2,5,226,5,14,1,2,29:12,2020-01-03,17,Sun,8:20PM ET,0,0,4-11-1,0,Washington Football Team,14.0,20.0,16.0,216.0,98.0,118.0,3.0,16.0,248.0,145.0,103.0,2.0,-11.71,8.33,-3.56,phi,2020,1,2020,19.0,19.0,0.25
27,35,261,3,0,1,3,7.5,77.1,126.0,31,173,5.6,1,1,1,3,3,4,189,6,13,0,2,31:02,2021-09-12,1,Sun,1:00PM ET,1,0,1-0,1,Atlanta Falcons,32.0,6.0,24.0,434.0,261.0,173.0,0.0,19.0,260.0,136.0,124.0,0.0,13.14,12.48,-2.36,phi,2021,9,2021,,,1.0
12,24,177,0,0,2,13,7.9,50.0,74.5,29,151,5.2,1,1,2,0,0,4,204,5,12,0,1,25:06,2021-09-19,2,Sun,1:00PM ET,0,0,1-1,0,San Francisco 49ers,11.0,17.0,18.0,328.0,177.0,151.0,0.0,23.0,306.0,189.0,117.0,0.0,5.3,-7.86,-2.68,phi,2021,9,2021,,,0.5
25,39,303,2,2,2,23,8.4,64.1,83.6,12,64,5.3,0,0,0,3,3,6,258,4,12,0,2,25:02,2021-09-27,3,Mon,8:15PM ET,0,0,1-2,1,Dallas Cowboys,21.0,41.0,12.0,367.0,303.0,64.0,2.0,27.0,380.0,220.0,160.0,1.0,-11.19,-9.13,0.01,phi,2021,9,2021,21.333333333333332,,0.3333333333333333
32,48,358,2,0,3,29,8.1,66.7,102.6,19,103,5.4,1,3,3,3,3,0,0,6,12,1,2,29:08,2021-10-03,4,Sun,1:00PM ET,0,0,1-3,0,Kansas City Chiefs,30.0,42.0,30.0,461.0,358.0,103.0,0.0,31.0,471.0,271.0,200.0,1.0,21.32,-34.67,0.7,phi,2021,10,2021,20.666666666666668,,0.25
22,37,182,0,1,2,16,5.4,59.5,60.9,22,91,4.1,2,2,2,1,1,6,276,4,13,0,1,24:57,2021-10-10,5,Sun,1:00PM ET,1,0,2-3,1,Carolina Panthers,21.0,18.0,15.0,273.0,182.0,91.0,2.0,17.0,267.0,158.0,109.0,3.0,-15.13,16.27,3.99,phi,2021,10,2021,24.0,,0.4
12,26,113,1,1,2,2,4.4,46.2,55.4,19,100,5.3,2,0,1,2,2,5,220,3,10,1,1,20:04,2021-10-14,6,Thu,8:20PM ET,0,0,2-4,0,Tampa Bay Buccaneers,22.0,28.0,16.0,213.0,113.0,100.0,1.0,27.0,399.0,297.0,102.0,1.0,9.52,-15.69,-3.01,phi,2021,10,2021,24.333333333333332,22.833333333333332,0.3333333333333333
18,34,223,2,0,2,13,6.9,52.9,93.1,32,135,4.2,1,0,0,2,2,3,143,6,13,2,3,27:29,2021-10-24,7,Sun,4:05PM ET,0,0,2-5,1,Las Vegas Raiders,22.0,33.0,22.0,358.0,223.0,135.0,2.0,23.0,442.0,323.0,119.0,1.0,4.67,-18.0,-1.38,phi,2021,10,2021,21.666666666666668,21.166666666666668,0.2857142857142857
11,16,114,0,0,0,0,7.1,68.8,89.1,46,236,5.1,4,3,3,5,5,1,47,5,10,0,0,35:00,2021-10-31,8,Sun,1:00PM ET,1,0,3-5,1,Detroit Lions,44.0,6.0,27.0,350.0,114.0,236.0,0.0,15.0,228.0,171.0,57.0,1.0,18.7,17.4,1.69,phi,2021,10,2021,29.333333333333332,26.666666666666668,0.375
11,17,155,1,0,1,7,9.5,64.7,113.6,39,176,4.5,2,1,1,3,3,3,130,8,12,0,0,26:23,2021-11-07,9,Sun,4:05PM ET,0,0,3-6,0,Los Angeles Chargers,24.0,27.0,20.0,331.0,155.0,176.0,0.0,28.0,445.0,356.0,89.0,0.0,17.56,-20.72,1.49,phi,2021,11,2021,30.0,27.166666666666668,0.3333333333333333
16,23,170,2,1,2,8,7.7,69.6,101.7,39,216,5.5,0,3,3,3,3,3,154,6,13,0,0,34:58,2021-11-14,10,Sun,4:25PM ET,1,0,4-6,1,Denver Broncos,30.0,13.0,22.0,386.0,170.0,216.0,1.0,17.0,308.0,212.0,96.0,1.0,8.45,6.62,-0.91,phi,2021,11,2021,32.666666666666664,27.166666666666668,0.4
13,24,138,0,0,3,9,6.1,54.2,71.2,50,242,4.8,3,4,4,4,4,5,221,12,21,0,0,37:01,2021-11-21,11,Sun,1:00PM ET,1,0,5-6,0,New Orleans Saints,40.0,29.0,21.0,380.0,138.0,242.0,1.0,18.0,323.0,214.0,109.0,3.0,0.6,9.01,4.11,phi,2021,11,2021,31.333333333333332,30.333333333333332,0.45454545454545453
14,31,124,0,3,1,5,4.2,45.2,16.8,33,208,6.3,1,0,0,1,1,3,130,4,11,0,2,27:58,2021-11-28,12,Sun,1:00PM ET,0,0,5-7,1,New York Giants,7.0,13.0,19.0,332.0,124.0,208.0,4.0,17.0,264.0,194.0,70.0,0.0,-9.73,0.39,3.28,phi,2021,11,2021,25.666666666666668,27.833333333333332,0.4166666666666667
20,25,233,2,0,2,9,9.7,80.0,132.2,41,185,4.5,1,4,4,3,3,1,38,6,13,1,1,35:36,2021-12-05,13,Sun,1:00PM ET,1,0,6-7,1,New York Jets,33.0,18.0,26.0,418.0,233.0,185.0,0.0,21.0,281.0,211.0,70.0,1.0,22.38,-6.13,-1.78,phi,2021,12,2021,26.666666666666668,29.666666666666668,0.46153846153846156
20,26,281,1,1,3,15,11.4,76.9,108.0,41,238,5.8,2,2,2,3,3,2,75,7,13,0,1,35:17,2021-12-21,15,Tue,7:00PM ET,1,0,7-7,0,Washington Football Team,27.0,17.0,23.0,519.0,281.0,238.0,2.0,14.0,237.0,174.0,63.0,0.0,13.15,0.64,-5.36,phi,2021,12,2021,22.333333333333332,26.833333333333332,0.5
17,29,194,2,0,1,5,6.9,58.6,101.8,30,130,4.3,1,2,3,4,4,4,170,5,13,0,1,29:08,2021-12-26,16,Sun,1:00PM ET,1,0,8-7,0,New York Giants,34.0,10.0,17.0,324.0,194.0,130.0,0.0,15.0,192.0,108.0,84.0,2.0,4.97,17.66,-0.73,phi,2021,12,2021,31.333333333333332,28.5,0.5333333333333333
17,26,212,0,0,1,2,8.2,65.4,90.5,34,118,3.5,2,2,2,2,2,2,74,4,12,3,4,32:09,2021-01-02,17,Sun,1:00PM ET,1,0,9-7,1,Washington Football Team,20.0,16.0,18.0,330.0,212.0,118.0,0.0,24.0,312.0,218.0,94.0,1.0,9.44,-2.61,-2.02,phi,2021,1,2021,27.0,26.833333333333332,0.5625
20,34,166,2,1,3,22,5.5,58.8,78.8,33,149,4.5,1,2,2,2,2,3,87,10,18,3,3,32:23,2021-01-08,18,Sat,8:15PM ET,0,0,9-8,0,Dallas Cowboys,26.0,51.0,22.0,315.0,166.0,149.0,1.0,22.0,475.0,304.0,171.0,0.0,6.82,-33.93,3.0,phi,2021,1,2021,26.666666666666668,24.5,0.5294117647058824
